"post_title","post_address","post_city","post_region","post_country","post_zip","post_latitude","post_longitude","phone","email","website","post_content","post_tags","business_hours","post_images","range_length_yards","number_of_lanes","facility_type","has_pro_shop","has_3d_course","has_field_course","membership_required","membership_price_adult","drop_in_price","equipment_rental_available","lessons_available","lesson_price_range","bow_types_allowed","accessibility"
"Bowsmith Archery","Mobile Service (Servicing Vancouver Island/Nanaimo)","Nanaimo","British Columbia","Canada","V9R 6X6","49.165884","-123.940065","+12507108944","jordanwm@hotmail.ca","https://bowsmitharchery.com/","Experience the ultimate thrill of **Arrow Tag** and precision shooting with **Bowsmith Archery**, the premier mobile service for **archery in Nanaimo and throughout Vancouver Island, British Columbia**. We specialize in bringing the excitement of **archery dodgeball** directly to your location, making us the perfect choice for birthdays, corporate team-building events, and youth celebrations. Our mobile setup includes all necessary equipment and professional safety instruction, ensuring a fun and high-energy experience for archers of all skill levels.

At Bowsmith Archery, we are more than just a mobile range; we are dedicated to making archery accessible and entertaining. In addition to our popular arrow tag events, we offer flexible booking for individual and group **archery lessons in Nanaimo**, catering to **compound, recurve, and traditional bow** enthusiasts. With convenient evening and weekend availability, we make it easy to integrate the spirit of the bow into your next special occasion. Whether you are looking for an action-packed party or expert-led **archery training on Vancouver Island**, Bowsmith Archery delivers a professional and memorable experience. Book your event today and join the archery revolution!","Mobile Event Service","Mon-Fri 6:00-9:00 PM; Sat 9:00 AM-9:00 PM (By Booking)","N/A","Mobile service - no fixed range","N/A","Mobile/Event Service","N/A","N/A","N/A","N/A","N/A (Event-based booking)","$450 (Private/Youth Event, up to 16 players, 90 mins)","Yes","Yes","Basic instruction included in events; contact for individual lessons","Compound, Recurve, Traditional","N/A"
"Nelson & District Rod & Gun Club","801 Railway St (Indoor); 124 Porto Rico Rd (Outdoor)","Nelson","British Columbia","Canada","V1L 5P7 ","","","(250) 551-7414 (Alan) / (250) 551-7562 (Warren)","Membership@nrgcbc.ca / nelsonbcarchery@gmail.com","http://www.nrgcbc.ca/","Discover a legacy of shooting excellence at **Nelson & District Rod & Gun Club**, the premier destination for **archery in Nelson, British Columbia**. Serving the West Kootenays, our club offers a unique dual-facility experience for archers of all specialties. We feature a well-equipped **indoor archery range** at 801 Railway St for year-round practice and a stunning **outdoor archery range** at Porto Rico Rd. Our outdoor facility is designed with 14 shooting stations and 15 targets, providing an expansive environment for **target and 3D archery** enthusiasts to sharpen their skills.

At Nelson & District Rod & Gun Club, we are committed to fostering the next generation of shooters through our popular **Saturday morning beginner sessions**. These expert-led sessions provide the perfect foundation in safety and technique for new archers. Whether you shoot a **compound, recurve, or traditional bow**, our club provides a supportive community and high-quality facilities for both competitive and recreational shooting. With affordable annual memberships for individuals and families, we are the top choice for **archery training in the Kootenays**. Visit us today and experience the best of **indoor and outdoor shooting in BC!**","Indoor/Outdoor","","","Indoor Range (5 archers); Outdoor (14 stations/15 targets)","Outdoor: 7:30 AM-Dusk; Clubhouse: Wed-Sun 10 AM-3 PM (verify)","$85 (Individual) / $110 (Family) / $30 (Junior)","N/A (Membership required; guest fees apply)","Yes (During Saturday beginner sessions)","Beginner sessions (Sat 11 AM-Noon; contact Greg)","Yes","","","","","","",""
"Boorman Archery","422A East Columbia St","New Westminster","British Columbia","Canada","V3L 3W9","49.2250476","-122.8929030","(604) 524-1674","boormanarchery@gmail.com","https://boormanarchery.com/","Step into the historic heart of precision shooting at **Boorman Archery**, a world-renowned destination for **archery in New Westminster, British Columbia**. Since 1964, our pro shop and professional **indoor archery range** at 422A East Columbia St have served as a cornerstone for the local and international archery community. We specialize in all disciplines, offering high-quality practice space for **recurve, compound, longbow, and traditional** shooters. Our facility is designed for year-round skill development, providing a welcoming environment for both dedicated members and curious beginners.

Boorman Archery is a premier academy for **archery lessons in the Lower Mainland**, featuring expert-led private coaching and popular 4-week adult development courses. Whether you are looking for a comprehensive introduction to the sport or advanced tuning at our full-service **archery pro shop**, our certified team is here to help you achieve your goals. With flexible drop-in options and shooter card memberships, we make it easy to maintain your accuracy. Visit us today to experience the legacy and expertise of one of the most established **archery clubs in BC!**","Indoor Pro Shop & Range","Tue-Sat 9:30 AM-5:00 PM; Sun-Mon Closed","N/A","Indoor Range (Recurve/Traditional/Compound)","N/A","Indoor","Yes","N/A","N/A","N/A","N/A (Drop-in and Shooter Cards available)","$20 (Traditional/Recurve drop-in); $25 (Compound drop-in)","Yes (Not included with Shooter Cards)","Yes","Private/Group lessons ($45-$60/hr); Adult 4-week course ($119.99); Shooter Cards: $120 (Traditional / 8 sessions), $160 (Compound / 8 sessions)","Recurve, Compound, Longbow, Crossbow","N/A"
"North Shore Archers","Brockton School (Indoor), 1150 Lynn Valley Rd","North Vancouver","British Columbia","Canada","V7J 1Z9 ","49.3290132","-123.0534175","N/A","info@northshorearchers.org","http://www.northshorearchers.org","Experience the versatile world of precision shooting with **North Shore Archers**, the premier club for **archery in North Vancouver, British Columbia**. Based at the Brockton School gym at 1150 Lynn Valley Rd, our club offers a unique **indoor pop-up archery range** that caters to shooters of all skill levels. We specialize in providing a safe and supportive environment for **recurve, compound, and traditional bow** enthusiasts. Our scheduled Tuesday evening and Saturday morning sessions are perfect for consistent practice and community engagement in the Lynn Valley area.

North Shore Archers is dedicated to fostering new talent through our highly acclaimed **Beginner Intro Lessons**. These 1.5-hour sessions provide a comprehensive foundation in safety and technique, with high-quality equipment provided for all participants. As a member of BC Archery, we prioritize skill development and offer affordable annual memberships for individuals and families. Whether you are looking for professional **archery training on the North Shore** or a fun recreational activity, our club provides the expertise and facilities you need. Join us today to master the art of the bow in a vibrant and welcoming atmosphere!","Indoor (Pop-up)","Tue 7-9 PM; Sat 10:30 AM-12:30 PM","N/A","Indoor Gym Range (Pop-up)","N/A","Indoor (Pop-up)","N/A","N/A","N/A","Yes (BCAA)","$75 (Adult) / $45 (Junior) / $130 (Family) + BCAA Fee","Range fee each session","Yes ($10 Range Fee for members using club equipment)","Yes","Beginner intro lesson: $35 (1.5 hrs, equipment provided)","Recurve, Compound, Traditional","N/A"
"SOSA Archers - Southern Okanagan Sportsmen's Association","352 Sportsmen's Bowl Road (Outdoor); 5856 Cessna Street (Indoor)","Oliver","British Columbia","Canada","V0H 1T5 ","49.1833330","-119.5500000","(250) 498-4844 (Amos Realty for Membership)","ost287642@gmail.com / mostermeier49@gmail.com","http://www.okanagansportsmen.com/archery.html","Elevate your shooting skills at **SOSA Archers**, the premier destination for **archery in Oliver, British Columbia**. As a division of the Southern Okanagan Sportsmen's Association (SOSA), our club offers a comprehensive dual-facility experience for archers of all disciplines. We feature a high-quality **indoor archery range** at the Air Cadet Building for winter practice and an expansive **outdoor archery range** at 352 Sportsmen's Bowl Road, accessible 365 days a year. Whether you are a fan of **compound and recurve bows** or utilize a **crossbow** in our designated shooting areas, SOSA provides the perfect environment for year-round mastery.

We are deeply committed to the future of the sport, hosting a highly active **Junior Olympian Program (JOP)** every Thursday evening to develop young competitive shooters. Our facility is uniquely equipped with dedicated broadhead pits and specialized crossbow butts, making us the top choice for both recreational target practice and **archery training in the South Okanagan**. With affordable annual memberships and a focus on safety and technique, SOSA Archers fosters a vibrant and inclusive community. Visit us today to experience the best of **indoor and outdoor shooting in BC!**","Indoor/Outdoor","Outdoor: 8AM-9PM; Indoor: Mon & Thu nights (from 6 PM)","N/A","Outdoor: Crossbow butt, Broadhead pit, target butts; Indoor: Air Cadet Bldg","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes (SOSA + BC Archery for JOP)","$125 (Regular) / $165 (Family) / $95 (Junior) / $115 (Senior)","$6-10 depending on membership","Yes ($5)","Yes (JOP)","Certified NCCP Coaches; JOP Youth Program (Thu)","Recurve, Compound, Crossbow (designated butt)","N/A"
"Arrowsmith Archers / Parksville-Qualicum Fish & Game","1245 Chattell Rd (Henry Range); 1979 Dorman Rd (Dorman Range)","Parksville","British Columbia","Canada","V9P 2H1 ","49.3001728","-124.2616374","(250) 228-3877 (Office) / (250) 716-6431 (Caretaker)","info@pqfg.org / arrowsmitharchers@shaw.ca","https://pqfg.org/","Discover the premier archery experience on Central Vancouver Island with **Arrowsmith Archers**, a division of the **Parksville-Qualicum Fish & Game Association**. Our club offers a comprehensive year-round shooting experience, featuring a professional **indoor archery range** at Nanoose Pentecostal Camp during the winter months (September – May) and two exceptional **outdoor archery ranges** (Henry Range and Dorman Range) for the summer season. Whether you are a fan of high-performance **compound bows**, traditional **recurve bows**, or utilize a **crossbow** in our designated shooting areas, Arrowsmith Archers provides the perfect setting to hone your skills.

We are deeply committed to youth development, hosting a highly active **Junior Olympian Program (JOP)** and providing expert coaching led by certified instructors during our indoor sessions. With affordable annual memberships and accessible equipment rentals, we are the top choice for **archery training in Parksville and the surrounding communities**. Join our vibrant community today to enjoy professional facilities and expert guidance in a supportive atmosphere. Visit us at Arrowsmith Archers and experience the best of **indoor and outdoor shooting in BC!**","Indoor/Outdoor","Indoor: Mon/Wed 6:00-8:00 PM; Outdoor: 9:00 AM-8:00 PM (Summer)","N/A","Henry Range (10-70yds); Dorman Range (Field course & 3D)","N/A","Indoor/Outdoor","N/A","Yes","Yes","Yes (PQFG)","$130 (Regular) / $50 (Junior) + $35 Key Fee","First drop-in free","Yes","Yes","Certified Coaches at indoor sessions; JOP Youth Program","Recurve, Compound, Crossbow (designated)","N/A"
"Penticton Archery Club / Penticton Shooting Sports","1787 Highway 97","Penticton","British Columbia","Canada","V2A 6K6 ","49.4940797","-119.6072556","(250) 328-8619 (Office) / (778) 930-7177 (Greg)","gregghar66@gmail.com","https://www.pentictonshootingsports.com/archery/","Discover the premier archery experience in the South Okanagan at **Penticton Archery Club**, a vital part of **Penticton Shooting Sports** in **Penticton, British Columbia**. Our facility at 1787 Highway 97 offers a comprehensive dual-range system designed to accommodate archers of all skill levels throughout the year. During the winter months, sharpen your accuracy in our professional **indoor 20-yard archery range**, while our expansive **outdoor range** provides targets from 20 to 70 yards for a true summer challenge.

Whether you shoot a **compound, recurve, or traditional bow**, Penticton Archery Club provides a supportive and social environment for practice. We host regular shooting sessions on Wednesday evenings and Saturday afternoons, making it easy to integrate archery into your weekly routine. With affordable annual memberships and a low **drop-in fee of just $5.00** for non-members, we are the most accessible choice for **archery training in Penticton**. Join our community today to enjoy professional facilities and friendly, informal guidance as you master the bow. Visit us and experience the best of **indoor and outdoor shooting in the Okanagan!**","Indoor/Outdoor","Wed 7:00-9:00 PM; Sat 2:00-4:00 PM","N/A","Indoor: 20yds; Outdoor: 20-70yds","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes","$125 (Adult) / $165 (Family) / $80 (Junior/Student/Senior)","$5.00 for non-members (per night)","Yes (free on National Range Day)","N/A","Informal assistance for beginners; no formal structured lessons listed","Recurve, Compound, Traditional","N/A"
"Silvertip Archers - Indoor Range","835 Central St W","Prince George","British Columbia","Canada","V2M 3C6","53.917045","-122.782735","(778) 416-0674","silvertiparchers@gmail.com","https://silvertiparchers.ca/","Discover the premier year-round archery experience at **Silvertip Archers - Indoor Range**, the focal point for **archery in Prince George, British Columbia**. Located at 835 Central St W, our facility provides a professional **indoor 18m archery range** designed to help archers of all specialties hone their skills. We take pride in offering our members unparalleled convenience with **24/7 key access** from 6:30 AM to 11 PM daily, ensuring you can practice on your own schedule.

Silvertip Archers is deeply committed to the growth of the sport, hosting a highly active **Junior Olympian Program (JOP)** and specialized **Tuesday Development Nights**. For those new to the bow, we offer popular Friday night drop-in sessions for just $5.00, providing an affordable entry point into the world of **archery in Northern BC**. Whether you shoot a **compound, recurve, or traditional bow**, our club provides a supportive community and expert-led **archery training in Prince George**. Join us today and experience the best of indoor shooting!","Indoor Range","Indoor: 6:30 AM - 11 PM daily; Outdoor: 8 AM - sunset (members)","N/A","Indoor 18m/20yd range","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes","$190 (Adult) / $130 (Junior) / $320 (Family) + BCAA Fee","$5.00 (Friday night drop-in - verify current status)","Yes (Available during drop-in/lessons)","Yes","JOP Program; Tuesday Development Night; Lessons available (contact for pricing)","Compound, Recurve, Traditional","N/A"
"Silvertip Archers - Outdoor","6390 Trans-Canada Hwy","Prince George","British Columbia","Canada","V2K 5C5","53.928195","-122.633846","(778) 416-0674","silvertiparchers@gmail.com","https://silvertiparchers.ca/","Experience the great outdoors and sharpen your precision at **Silvertip Archers - Outdoor**, the premier destination for **archery in Prince George, British Columbia**. Located at 6390 Trans-Canada Hwy, our expansive facility offers a diverse shooting experience with both dedicated **target and field ranges**. Operating from 8:00 AM until sunset, our outdoor range provides a tranquil and professional environment for members to practice their skills in the fresh air of Northern BC.

As a cornerstone of **archery in the Peace region**, Silvertip Archers caters to all disciplines, including **compound, recurve, and traditional bows**. Our outdoor facility is designed for variety, featuring a challenging **3D archery course** and field loops that simulate real-world shooting conditions. While our outdoor range is for experienced archers who own their own equipment, we foster a vibrant community through regular club shoots and competitive events. With comprehensive annual memberships that include access to our indoor range, we are the top choice for **archery training in Prince George**. Visit us today to take your shooting to the next level in the heart of nature!","Outdoor Range","8:00 AM - Sunset (members)","N/A","Target & Field Ranges","N/A","Outdoor","N/A","N/A","Yes","Yes","$190 (Adult) / $130 (Junior) / $320 (Family) + BCAA Fee","N/A (Included in membership)","No (Outdoor range requires own equipment)","N/A","Club shoots and events","Compound, Recurve, Traditional","N/A"
"Quesnel River Archers","160 Barlow Ave (Indoor); Campsite Rd (Outdoor); Sword Ave (Fita)","Quesnel","British Columbia","Canada","V2J 3J4 ","52.9772321","-122.4969964","(250) 249-5623 (Dale Chapplow)","quesnelriverarchers@gmail.com / dalechapplow2@gmail.com","https://www.facebook.com/groups/415123712208449","Discover the premier archery experience in the North Cariboo with **Quesnel River Archers** in **Quesnel, British Columbia**. As a highly active club with a rich history of hosting provincial championships, we offer exceptional facilities for archers of all specialties. Our professional **indoor archery range** at 160 Barlow Ave is perfect for winter training and 18m rounds, while our expansive **outdoor and Fita ranges** on Campsite Rd and Sword Ave provide a stunning backdrop for summer shooting.

Whether you shoot a **compound, recurve, or traditional bow**, Quesnel River Archers provides a supportive community to sharpen your skills. We are particularly proud of our dedicated **children's archery program (K-12)**, which fosters growth and safety in young shooters. With affordable annual memberships and accessibility for both competitive and recreational shooters, we are the top choice for **archery training in Quesnel**. Join us today to experience the best of **indoor and outdoor shooting in BC** and become part of a championship-caliber club!","Indoor/Outdoor","Indoor sessions typically Sat/Sun morning & afternoon; Outdoor dawn-dusk","N/A","Indoor (18m); Outdoor (Pioneer Park); Fita Range","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes","N/A (Membership through Archery Canada/BC Archery; check for club fees)","$5-$10 (Guest estimate based on local gun club; verify with Dale)","Yes (Available for specific children/beginner programs)","Yes","Children's archery program (K-12); Contact for adult lessons","Compound, Recurve, Traditional","N/A"
"Richmond Rod and Gun Club - Indoor Archery Range","7400 River Rd","Richmond","British Columbia","Canada","V6X 1X5","49.180422","-123.140574","(604) 278-1101","N/A (Contact via website)","https://richmondrodandgunclub.com/","Experience top-tier indoor shooting at **Richmond Rod and Gun Club - Indoor Archery Range**, the premier destination for **archery in Richmond, British Columbia**. Conveniently located at 7400 River Rd, our facility offers a professional environment for archers of all specialties to hone their skills. We pride ourselves on being an inclusive club where **all bow types are welcome**, including compound, recurve, traditional, and even crossbows.

Whether you are a seasoned shooter or a complete beginner, we offer flexible access through our scheduled **indoor drop-in nights** on Mondays, Wednesdays, Thursdays, and Fridays from 7:30 PM to 9:30 PM. For those new to the sport, our highly acclaimed **Beginner Archery Lessons** on Monday nights provide a comprehensive foundation for just $40, including all necessary gear. With affordable drop-in rates and specialized equipment rentals available, we are the top choice for **archery training in the Lower Mainland**. Join our vibrant community today and enjoy expert guidance in a supportive atmosphere. Visit Richmond Rod and Gun Club to take your aim to the next level!","Indoor Range","Mon/Wed/Thu/Fri 7:30 PM - 9:30 PM","N/A","Indoor Range","N/A","Indoor","N/A","N/A","N/A","Yes","$135-$165 (Typical Club Membership); Archery 5-pass $25","$18 (Non-member) / $6 (Member) / $12 (Youth)","Yes ($12 full equipment rental)","Yes","Beginner Lessons ($40 including gear; Mondays)","All bow types (Compound, Recurve, Traditional, Crossbow)","N/A"
"Gum Ying Richmond Archery Club","4221 Shell Rd, Unit 160","Richmond","British Columbia","Canada","V6X 2W8","49.170509","-123.157968","(604) 338-3999","richmondarchery@hotmail.com","http://www.richmondarchery.com/","Experience the excitement of precision shooting at **Gum Ying Richmond Archery Club**, the premier destination for **indoor archery in Richmond, British Columbia**. Conveniently located at 4221 Shell Rd, our facility boasts one of the largest **indoor archery ranges in BC**, with enough space to accommodate up to 70 people and 24 simultaneous shooting spots. Whether you are a fan of **recurve, compound, or traditional longbows**, our professional range is designed to provide a safe and controlled environment for archers of all specialties.

At Gum Ying, we are dedicated to making the sport accessible through expert-led **archery lessons in Richmond**. We offer comprehensive **Introductory Sessions** for beginners, engaging **Family Sessions**, and a highly competitive **Junior Olympian Program (JOP)** for young aspiring archers. With flexible operating hours six days a week and affordable hourly rates, we are the top choice for recreational and competitive **archery training in the Lower Mainland**. Join our vibrant community today to learn from certified instructors and improve your accuracy!","Indoor Range","Tue-Fri 3:30-8:15 PM; Sat 9:30 AM-6:15 PM; Sun 1:30-6:15 PM; Mon 3:30-6 PM","N/A","Indoor (18m; 24 shooting spots)","24","Indoor","N/A","N/A","N/A","No","$35 (Yearly Membership Fee)","$20/hr (Members gear) / $25/hr (w/ Recurve rental)","Yes","Yes","Intro Session ($35); Family Session ($70); JOP ($666.75)","Recurve, Longbow (up to 45lbs), Compound (up to 60lbs)","Free parking underneath building"
"Bulkley Valley Bowmen","Behind Fall Fair Grounds (Outdoor); 7091 Kroeker Road (Indoor at BV Rod & Gun)","Smithers","British Columbia","Canada","V0J 2N0 ","54.7792074","-127.1760991","(250) 877-8734 (Sam Cooper)","membership@bvbowmen.ca / rentals@bvbowmen.com","https://www.bulkleyvalleybowmen.com/","Discover the premier archery experience in the Bulkley Valley with **Bulkley Valley Bowmen** in **Smithers, British Columbia**. Our club offers a comprehensive year-round shooting experience, featuring a professional **indoor archery range** at the Bulkley Valley Rod & Gun Club during the winter months (January – April) and a stunning **outdoor range** located behind the Fall Fair Grounds along the Bulkley River for the summer season. Whether you are a fan of **compound, recurve, or traditional bows**, Bulkley Valley Bowmen provides the perfect setting to hone your skills amidst the natural beauty of Northern BC.

We are deeply committed to fostering the next generation of archers, offering a dedicated **Junior Indoor Archery Program** that is free for members' children. Our scheduled Monday night indoor sessions are popular for consistent practice and community networking. With affordable annual memberships and accessible drop-in sessions, we are the top choice for **archery training in Smithers and the surrounding area**. Join our vibrant community today to enjoy professional facilities and expert guidance in a supportive atmosphere. Visit Bulkley Valley Bowmen and experience the best of **indoor and outdoor shooting in the Bulkley Valley!**","Indoor/Outdoor","Indoor Drop-in: Mon 6:30-9:30 PM (Jan-Apr); Outdoor: Dawn-Dusk","N/A","Indoor Range; Outdoor River-side Range","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes","$57.80 (Individual) / $85.50 (Family)","$10.00 (Indoor session fee for members)","Yes (Available for events/socials)","Yes","Junior Indoor Archery Program (Free for members' kids)","Compound, Recurve, Traditional","N/A"
"Squamish Valley Rod & Gun Club","2050 Centennial Way","Squamish","British Columbia","Canada","V8B 0A3","49.7286159","-123.1427405","N/A (Email preferred)","archery@svrgc.org","https://svrgc.org/archery-home","Discover the premier archery experience in the Sea-to-Sky corridor at **Squamish Valley Rod & Gun Club** in **Squamish, British Columbia**. Nestled at 2050 Centennial Way, our club offers a comprehensive year-round shooting experience for archers of all specialties. We feature a professional **indoor archery range** for structured sessions during the winter months and an expansive **outdoor archery range** that is open to members every day from 9 AM to 9 PM.

Whether you shoot a **compound, recurve, or traditional bow**, Squamish Valley Rod & Gun Club provides a supportive and social environment to hone your skills. We are deeply committed to youth development through our active **Junior Olympian Program (JOP)** and offer specialized coaching led by certified instructors. With affordable annual memberships and accessible **indoor drop-in sessions** on Wednesday and Friday evenings, we are the top choice for **archery training in Squamish**. Join our vibrant community today to experience the best of **indoor and outdoor shooting in BC** and take your aim to new heights in the heart of the mountains!","Indoor/Outdoor","Indoor: Wed 7:30-9 PM, Fri 7-9 PM; Outdoor: 9 AM-9 PM (members)","N/A","Indoor Range; Outdoor Range","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes","$125 (Adult Resident) / $165 (Adult Non-Resident) / $190 (Family)","$5.00 (Adult Drop-in) / $2.00 (Junior Drop-in)","Limited (guests)","Yes","Junior Olympic Program (JOP); Certified instructors available.","Compound, Recurve, Traditional","N/A"
"Sunshine Coast Rod and Gun Club","4384 Parkway Drive","Sechelt","British Columbia","Canada","V0N 3A1","49.4446553","-123.7149703","N/A (Email preferred)","archery@scrgc.ca / info@scrgc.ca","https://scrgc.ca/Archery","Discover the ultimate shooting destination on the coast at **Sunshine Coast Rod and Gun Club** in **Sechelt, British Columbia**. Nestled at 4384 Parkway Drive, our club provides an exceptional year-round archery experience for enthusiasts of all ages and skill levels. We feature a versatile range system, including both a professional **indoor archery range** for consistent practice and an expansive **outdoor archery range** set in a beautiful coastal forest. Whether you shoot a **compound, recurve, or traditional bow**, our facility offers the perfect environment to sharpen your accuracy.

We are deeply committed to fostering a strong archery community through our popular **Saturday morning drop-in sessions**. These sessions are perfect for both recreational shooters and those looking for introductory coaching. We also offer a dedicated **youth archery program** every Saturday morning to build a solid foundation for the next generation. With affordable annual memberships and accessible guest fees, we are the top choice for **archery training on the Sunshine Coast**. Join our vibrant community today to enjoy professional facilities and expert-led open house events in a welcoming atmosphere. Visit Sunshine Coast Rod and Gun Club and experience the best of **indoor and outdoor shooting in BC!**","Indoor/Outdoor","Drop-in: Sat 9:30-11:30 AM; Youth: Sat 11:30 AM-1 PM; Members: Sun 9:30 AM","N/A","Indoor Range; Outdoor Range; Trap/Skeet","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes","$165 (Adult) / $175 (Bundle) / $40 (Junior) / $145 (Senior)","$20.00 (Guest Fee) + $2.00 (Target Fee)","Yes ($10.00 Non-members; $5.00 Members)","Yes","Archery coordinators provide lessons and open house events.","Compound, Recurve, Traditional","N/A"
"Semiahmoo Fish & Game Club / Semiahmoo Archers","1284 184th Street","Surrey","British Columbia","Canada","V3Z 9R9","49.0160557","-122.7182700","(604) 535-8366","archery.sfgc@gmail.com","https://www.sfgc.info/archery","Discover the premier archery experience at **Semiahmoo Fish & Game Club / Semiahmoo Archers** in **Surrey, British Columbia**. Conveniently located at 1284 184th Street, our club offers a comprehensive year-round shooting experience with both professional **indoor and outdoor archery ranges**. Whether you are a fan of **recurve, compound, or crossbow archery**, our facilities provide a safe and supportive environment for archers of all specialties.

At Semiahmoo Archers, we are dedicated to making the sport accessible through expert-led **archery lessons in Surrey**. We offer popular adult archery classes, a highly active **Junior Olympian Program (JOP)** for young aspiring archers, and customizable group events for special occasions. With scheduled indoor drop-in sessions on Monday and Thursday evenings and outdoor targets available from dawn until dusk, we are the top choice for recreational and competitive **archery training in the Lower Mainland**. Join our vibrant community today to experience the best of **indoor and outdoor shooting in BC** and improve your accuracy with certified guidance!","Indoor/Outdoor","Indoor: Mon/Thu 7:30-9:30 PM; Outdoor: Dawn-Dusk","N/A","Indoor Range; Outdoor targets (20-70 yards)","N/A","Indoor/Outdoor","N/A","N/A","N/A","Yes for outdoor; Drop-in for indoor","$120 (Individual) / $150 (Family) / $50 (Junior) / $60 (Senior)","$10.00 (Non-members) / $5.00 (Adult members) / $4.00 (Junior members)","Yes","Yes (JOP, Adult)","Adult Archery Classes; Junior Archery Program (JOP); Group Events","Recurve, Compound, Crossbow (designated butt)","N/A"
"Terrace Whiskey-Jack Archers","Thornhill Junior Secondary (Indoor); 3577 Rifle Range Road (Outdoor)","Terrace","British Columbia","Canada","V8G 3P1 ","54.5172715","-128.5995480","N/A","b_gibson87@hotmail.com","https://www.terrace-archery.com/","Experience the spirit of the bow in Northern BC with **Terrace Whiskey-Jack Archers** in **Terrace, British Columbia**. Our club offers a comprehensive year-round shooting experience for archers of all specialties, featuring a professional **indoor archery range** at Thornhill Junior Secondary during the winter months (November – April) and a premier **outdoor range** located at 3577 Rifle Range Road, adjacent to the Terrace Rod & Gun Club. Whether you are a fan of **compound, recurve, or traditional bows**, our facilities provide the perfect environment to hone your skills amidst the rugged beauty of the Skeena region.

We are deeply committed to fostering the next generation of archers through our highly active **Junior Olympian Program (JOP)** and offer introductory coaching sessions for beginners. Terrace Whiskey-Jack Archers is well-known for hosting an annual **3D archery competition**, attracting enthusiasts from across the province. With affordable memberships and a supportive community atmosphere, we are the top choice for **archery training in Terrace**. Join us today to enjoy professional facilities and expert guidance in one of the most scenic shooting locations in BC!","Indoor/Outdoor","Indoor season: Nov-Apr; Outdoor available year-round","N/A","Indoor Range; Outdoor Target & Field Ranges","N/A","Indoor/Outdoor","N/A","Yes","Yes","Yes","Check website for current fees","N/A","Yes (Available during JOP and specific sessions)","Yes","Junior Olympic Program (JOP); Introductory coaching available","Compound, Recurve, Traditional","N/A"
"West Kootenay Archers","3430 Casino Road (Casino Range)","Trail","British Columbia","Canada","V1R 4X3","49.0935732","-117.6725616","N/A","WestKootenayarchers@gmail.com","https://www.facebook.com/westkootenayarchers","Elevate your outdoor shooting experience with **West Kootenay Archers**, the premier destination for **archery in Trail, British Columbia**. Based at the stunning Casino Range and managed in partnership with the Trail Wildlife Association, our club offers an unparalleled environment for **target and 3D archery**. Our facility features three distinct outdoor 3D courses, each with 15 targets, set in a beautiful natural landscape that provides both a challenge and a serene escape for shooters of all skill levels.

Whether you favor the power of a **compound bow** or the heritage of **traditional archery**, West Kootenay Archers provides a supportive community for all enthusiasts. We specialize in hosting exciting event-based drop-in sessions and managed shoots that showcase the best of **outdoor shooting in the West Kootenays**. With access available from dawn until dusk and affordable membership options through the TWA, we are the top choice for **archery training in the Trail region**. Join us today to explore our scenic trails and sharpen your accuracy in the heart of nature!","Outdoor Range","Dawn to dusk; Check TWA range closure schedule","N/A","3 Outdoor 3D Courses (15 targets each)","N/A","Outdoor","N/A","Yes","N/A","Yes","Requires WKA or TWA Membership (approx. $20-$40 for events)","$10-$20 (Event-based drop-in)","No","Yes","Occasional archery days and instruction; summer camps for youth","Traditional, Compound","N/A"
"UBC Archers","6108 Thunderbird Boulevard (Osborne Building)","Vancouver","British Columbia","Canada","V6T 1Z3","49.2602844","-123.2437201","N/A","ubcarchers@gmail.com","https://ubcarchery.ca/","Discover the vibrant spirit of **archery in Vancouver** with **UBC Archers**, based at the University of British Columbia. Primarily located in the Osborne Building at 6108 Thunderbird Boulevard, our club is open to students, alumni, and the local community. We offer a professional **indoor archery range** experience during the winter terms, providing a focused environment for shooters of all skill levels. Whether you are a seasoned expert or a curious beginner, UBC Archers is the perfect place to hone your accuracy with **recurve, compound, or traditional bows**.

At UBC Archers, we believe in making the sport educational and accessible. Our structured sessions include expert-led **beginner archery lessons**, ensuring that new archers build a solid foundation in safety and technique. With affordable term-based memberships for students and competitive rates for alumni and community members, we are the leading choice for **archery training at UBC**. Join our diverse and welcoming community today to enjoy high-quality facilities and expert guidance in the heart of the Vancouver campus. Visit us and experience the precision of the bow!","Indoor Range","Mon 5-7 PM (during winter terms)","N/A","Indoor Range (Osborne Gym)","N/A","Indoor","N/A","N/A","N/A","Yes (term membership)","$65 (Alumni/Community members)","$15 (Non-members)","Yes (provided)","Yes","Beginner lessons included with membership info","Recurve, Compound, Traditional","N/A"
