 ,post_title,post_author,post_category,F174,post_address,post_city,post_region,post_country,post_zip,post_latitude,post_longitude,phone,email,website,post_content,post_tags,business_hours,post_images,range_length_yards,number_of_lanes,facility_type,has_pro_shop,has_3d_course,has_field_course,membership_required,membership_price_adult,drop_in_price,equipment_rental_available,lessons_available,lesson_price_range,bow_types_allowed,accessibility,parking_available,data_status,,
,Trailsmen Rod & Gun Club,1,1,1,5948 Desmarais Rd,Val Therese,ontario,canada,P3P 1S5,46.6631,-81.0081,(705) 897-6556,trailsmen@outlook.com,https://www.trailsmen.org,,"Trailsmen Rod & Gun Club is a registered not-for-profit organization (OCN 417502) operated by volunteers since 1979. Affiliated with the Ontario Federation of Anglers and Hunters. Features 3D archery range, rifle ranges, and fish hatchery program.",n/a,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Recurve, Compound",,yes,Complete,,
,Golden Horseshoe Mounted Archery,1,1,1,,Grimsby,ontario,canada,N/A,43.1976,-79.5678,N/A,mountedarcherycanada@gmail.com,https://www.facebook.com/GHMountedArchery,,"Golden Horseshoe Mounted Archery is a CFMA member club based in Southern Ontario, Canada. They pursue all styles of mounted archery while emphasising safety, horsemanship, and FUN!",n/a,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Recurve, Traditional",,yes,Complete,,
,Sigma Archery,1,1,1,896 Concession 6 Rd,Virgil,ontario,canada,L0S 1J0,43.1898,-79.1352,905-324-6816,ksmith@sigma-archery.ca,https://www.sigma-archery.ca,,"Sigma Archery is an Archery Club and Outdoor Target Range located in the Niagara Region. They offer outdoor target ranges, lessons, and are a community of authentic individuals supporting each other in their archery journey.",n/a,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,$15,N/A,N/A,N/A,"Recurve, Compound",,yes,Complete,,
,Sudbury Archery Club,1,1,1,Sudbury,Greater Sudbury,Ontario,Canada,,46.4917,-80.993,,,,Archery club in Sudbury,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Valley East Archery Club,1,1,1,Valley East,Greater Sudbury,Ontario,Canada,,46.6089,-80.9736,,,,Archery club in Valley East area,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Grimsby Archery Club,1,1,1,Grimsby,Grimsby,Ontario,Canada,,43.1959,-79.5624,,,,Archery club in Grimsby,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Guelph Archery Club,1,1,1,Guelph,Guelph,Ontario,Canada,,43.5448,-80.2482,,,,Archery club in Guelph,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Royal City Bowmen,1,1,1,Guelph,Guelph,Ontario,Canada,,,,905-617-3217 / 519-803-6604,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Haliburton Archery Club,1,1,1,Haliburton,Haliburton,Ontario,Canada,,45.0456,-78.5152,,,,Archery club in Haliburton,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Ancaster Archery Club,1,1,1,Ancaster,Hamilton,Ontario,Canada,,43.2183,-79.9869,,,,Archery club in Ancaster,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Dundas Valley Archers,1,1,1,Dundas,Hamilton,Ontario,Canada,,43.2685,-79.9519,,,,Archery club in Dundas Valley,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Hamilton Angling & Hunting Association,1,1,1,Ancaster,Hamilton,Ontario,Canada,,43.2183,-79.9869,,,,Hunting and fishing association with archery facilities in Ancaster,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Hamilton Archery Centre,1,1,1,"148 Parkdale Ave N, Lower Level",Hamilton,Ontario,Canada,L8H 5X2,43.2557,-79.8711,,,https://www.hamiltonarcherycentre.com/,"Family-run archery centre with indoor range. NCCP-trained coaches. Offers group lessons ($55), private lessons, youth programs, adult leagues. No membership required. Equipment rental available $8. Open shooting $18/hour.","archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Hamilton Archery Club,1,1,1,Hamilton,Hamilton,Ontario,Canada,,43.2557,-79.8711,,,,Archery club in Hamilton,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Waterdown Rod and Gun Club,1,1,1,Waterdown,Hamilton,Ontario,Canada,,43.3278,-79.8986,,,,Rod and gun club with archery range in Waterdown,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Tavistock & District Rod & Gun,1,1,1,336994 33rd Line,Embro,Ontario,Canada,N0J 1J0,43.27,-80.8807,519-393-5451,tdrgc.info@gmail.com,http://www.tdrgc.com,"Non-profit shooting club with supervised archery, pellet gun, outdoor rifle/pistol ranges. Monthly BBQ, family-friendly.",,,,,,Outdoor,,,,Yes,,,No,No,,,,,Missing - Needs All Details,,
,Nottingham North,1,1,1,,Hilton Beach,Ontario,Canada,,,,705-246-1475,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Archery Ontario,1,1,1,,Huntsville,Ontario,Canada,,,,,,archeryontario.ca,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Waterford Family Archery Club,1,1,1,66 Main St. S,Hagersville,Ontario,Canada,N0A 1H0,,,,,,Popinjay/sport archery. Family focus. Meets in Hagersville.,,,,,,Indoor,,,,Yes,,,,,,,,,Missing - Needs All Details,,
,Kapuskasing Archery Club,1,1,1,Kapuskasing,Kapuskasing,Ontario,Canada,,49.4144,-82.4333,,,,Archery club in Kapuskasing,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Archery Exclusive Jackson Archery Mfg,1,1,1,Lindsay,Kawartha Lakes,Ontario,Canada,,44.3561,-78.7408,,,,Archery club in Lindsay,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Kenora Archery Club,1,1,1,Kenora,Kenora,Ontario,Canada,,49.7669,-94.4894,,,,Archery club in Kenora,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Kingston Archery Club,1,1,1,Kingston,Kingston,Ontario,Canada,,44.2312,-76.486,,,,Archery club in Kingston,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Kirkland Lake Archery Club,1,1,1,Kirkland Lake,Kirkland Lake,Ontario,Canada,,48.1472,-80.0372,,,,Archery club in Kirkland Lake,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Kitchener-Waterloo Archery Club,1,1,1,Kitchener,Kitchener,Ontario,Canada,,43.4516,-80.4925,,,,Archery club serving Kitchener-Waterloo,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Pioneer Sportsmen Club,1,1,1,,Kitchener/Cambridge,Ontario,Canada,,,,519-653-3781,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Lasalle/Windsor Sportsman Club,1,1,1,Windsor/LaSalle,LaSalle,Ontario,Canada,,42.2289,-83.065,,,,Sportsman club serving Windsor and LaSalle with archery facilities,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Archers in Muskoka (AIM),1,1,1,Dwight,Lake of Bays,Ontario,Canada,,45.25,-79.0833,,,,"Traditional archery club in Muskoka, Dwight area","archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Leamington Archery Club,1,1,1,Leamington,Leamington,Ontario,Canada,,42.0534,-82.5998,,,,Archery club in Leamington,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Lincoln Archery Club,1,1,1,Lincoln,Lincoln,Ontario,Canada,,43.1381,-79.4161,,,,Archery club in Lincoln area,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Mackies Mountain Archery,1,1,1,Beamsville,Lincoln,Ontario,Canada,,43.1667,-79.4667,,,,Archery facility in Beamsville area,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Forest City Bowmen,1,1,1,London,London,Ontario,Canada,,42.9849,-81.2453,,,,Traditional archery club in London,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,London Archery Club,1,1,1,London,London,Ontario,Canada,,42.9849,-81.2453,,,,Archery club in London,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Flying Feathers Archery Club Inc.,1,1,1,,Madawaska,Ontario,Canada,,,,613-637-2139,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Marathon Archery Club,1,1,1,Marathon,Marathon,Ontario,Canada,,48.7481,-86.3731,,,,Archery club in Marathon,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Markham Archery Club,1,1,1,Markham,Markham,Ontario,Canada,,43.8561,-79.337,,,,Archery club in Markham,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Solely Archery Club,1,1,1,Centre of Markham City,Markham,Ontario,Canada,,43.8561,-79.337,,,https://solelyana.com/,"Year-round indoor archery range with 20-yard distance, up to 8 lanes. Recently upgraded facility. Welcomes all skill levels, offers beginner lessons. After-hour sessions available. Minimum age 12 years.","archery, traditional archery, Ontario","Mon-Wed/Sat: 6-8pm, Thu-Fri: 7-8pm, Sun: 5-8pm",,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,The Marksmen Den,1,1,1,Markham,Markham,Ontario,Canada,,43.8561,-79.337,,,,Archery facility in Markham,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Mattawa Archery Club,1,1,1,Mattawa,Mattawa,Ontario,Canada,,46.3189,-78.7028,,,,Archery club in Mattawa,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Meaford Archery Club,1,1,1,Meaford,Meaford,Ontario,Canada,,44.6042,-80.5981,,,,Archery club in Meaford,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Midland Archery Club,1,1,1,Midland,Midland,Ontario,Canada,,44.7501,-79.8831,,,,Archery club in Midland,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Evolve Archery Canada,1,1,1,,Milton,Ontario,Canada,,,,416-802-7052,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Central Manitoulin Archers,1,1,1,,Mindemoya/Kagawong,Ontario,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Minden Archery Club,1,1,1,Minden,Minden Hills,Ontario,Canada,,44.9275,-78.7206,,,,Archery club in Minden,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Mississauga Archery Club,1,1,1,Mississauga,Mississauga,Ontario,Canada,,43.589,-79.6441,,,,Archery club in Mississauga,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Ontario Centre for Classical Sport,1,1,1,Mississauga,Mississauga,Ontario,Canada,,43.589,-79.6441,,,,Classical sports centre including archery programs,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Peel Archery Club,1,1,1,Mississauga,Mississauga,Ontario,Canada,,43.589,-79.6441,,,,Private members-only sports club featuring Ontario's only 70m indoor archery range. Open 24/7 for members. Accommodates 3D targets. Offers lessons and coaching in recurve and compound bows. Membership requires own equipment.,"archery, traditional archery, Ontario",24/7 for members,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Muskoka Lakes Archers,1,1,1,Port Carling,Muskoka Lakes,Ontario,Canada,,45.1403,-79.55,,,,Archery club in Muskoka Lakes area,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Napanee Archery Club,1,1,1,Napanee,Napanee,Ontario,Canada,,44.25,-76.9497,,,,Archery club in Napanee,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Addicted Archery,1,1,1,,Napanee/Odessa,Ontario,Canada,,,,613-331-3457,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Newmarket Archery Club,1,1,1,Newmarket,Newmarket,Ontario,Canada,,44.0592,-79.4613,,,,Archery club in Newmarket,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,York County Bowmen,1,1,1,Newmarket,Newmarket,Ontario,Canada,,44.0592,-79.4613,,,,Established archery club hosting provincial championships including AO 5 Ring Championships,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Niagara Falls Archery Club,1,1,1,Sherk Road & Willoughby Drive NE Corner,Niagara Falls,Ontario,Canada,L2G 6X5,42.9975,-79.0444,905-325-0522,niagara.bowmen@gmail.com,,Outdoor archery range formerly known as Niagara Bowmen. Archers of all ages and skill levels welcome. NCCP-trained coaches available. Outdoor season runs spring (April/May) to late fall (Oct/Nov). Tuesday evening shoots open to non-members. Equipment rental and introductory lessons available for new archers.,"archery, traditional archery, Ontario","Outdoor Season: May-October, Tuesday evenings 5:30pm-7:30pm for registration/orientation",,,,Outdoor,,,,Yes,150,10,Yes (youth program),Yes,$5 introductory lesson,,,,Partial - Needs Additional Details,,
,Barefoot Bushcraft,1,1,1,1874 Highway 20 East,Fonthill,Ontario,Canada,,,,,,barefootbushcraft.com,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Niagara-on-the-Lake Archery Club,1,1,1,Niagara-on-the-Lake,Niagara-on-the-Lake,Ontario,Canada,,43.2553,-79.0717,,,,Archery club in Niagara-on-the-Lake,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,North Bay Archery Club,1,1,1,North Bay,North Bay,Ontario,Canada,,46.3091,-79.4608,,,,Archery club in North Bay,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,North Bay Bowhunters & Archers,1,1,1,North Bay,North Bay,Ontario,Canada,,46.3091,-79.4608,,,,Established bowhunting and target archery club in North Bay,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Archers Arena,1,1,1,1140 Sheppard Ave W Suite 4,North York,Ontario,Canada,M3K 2A2,43.7488,-79.4692,(647) 992-7362,Info@archersarena.com,https://archersarena.com/,"Indoor archery range and combat archery facility. Offers archery tag, lessons, and open range shooting up to 20 yards. Equipment rental available. Popular for parties and events.","archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Archers Arena,1,1,1,,North York,Ontario,Canada,,,,,,archersarena.com,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Grand Archery,1,1,1,,North York,Ontario,Canada,,,,416-576-3978,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Colby's Shooting Club,1,1,1,Waterloo,waterloo,Ontario,canada,N2V 1B4,43.500556,-80.560591,226-581-0819,colbyshootingclub@shooterschoice.com,https://colbyshootingclub.com/,Archery Range in waterloo,,24/7 to members,,,,,,,,,,,,,,,,,,,
,Lions Archery,1,1,1,,North York,Ontario,Canada,,,,289-834-3819,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Oakville Archery Club,1,1,1,Oakville,Oakville,Ontario,Canada,,43.4675,-79.6877,,,,Community archery club in Oakville,"archery, traditional archery, Ontario",,,20 yards,8,indoor,yes,no,no,yes,N/A,$20/person with a member,no,no,n/a,all types,24/7,yes,Partial - Needs Additional Details,,
,Orangeville Archery Club,1,1,1,Orangeville,Orangeville,Ontario,Canada,,43.9191,-80.0947,,,,Archery club in Orangeville,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Orillia Archery Club,1,1,1,Orillia,Orillia,Ontario,Canada,,44.6084,-79.4196,,,,Archery club in Orillia,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Archery 2 You,1,1,1,Durham Region,Oshawa,Ontario,Canada,,43.8971,-78.8658,,,,Mobile archery service in Durham,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Oshawa Archery Club,1,1,1,Oshawa,Oshawa,Ontario,Canada,,43.8971,-78.8658,,,,Archery club in Oshawa,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Woods North Archery,1,1,1,Oshawa,Oshawa,Ontario,Canada,,43.8971,-78.8658,,,,Professional archery facility in Oshawa,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Archery Canada,1,1,1,,Ottawa,Ontario,Canada,,,,613-260-2113,,archerycanada.ca,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Carleton Archery Club,1,1,1,,Ottawa,Ontario,Canada,,,,613-696-9127,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Gatineau Park Archery,1,1,1,Gatineau Park Area,Ottawa,Ontario,Canada,,45.5017,-75.812,,,,Outdoor archery near Gatineau Park,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Gloucester Archery Club,1,1,1,Gloucester,Ottawa,Ontario,Canada,,45.4086,-75.5603,,,,Archery club in Gloucester,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Kanata Archery Club,1,1,1,Kanata,Ottawa,Ontario,Canada,,45.3002,-75.9002,,,,Archery club in Kanata,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Kanata Archery Club,1,1,1,Kanata,Ottawa,Ontario,Canada,,45.3002,-75.9002,,,,Community archery club in Kanata area of Ottawa,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Nepean Archery Club,1,1,1,Nepean,Ottawa,Ontario,Canada,,45.3361,-75.7284,,,,Archery club in Nepean,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Orleans Archery Club,1,1,1,Orleans,Ottawa,Ontario,Canada,,45.4726,-75.5198,,,,Archery club in Orleans,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Ottawa Archers,1,1,1,Ottawa,Ottawa,Ontario,Canada,,45.4215,-75.6972,,,,Ottawa-based archery club,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Ottawa Archery Club,1,1,1,Ottawa,Ottawa,Ontario,Canada,,45.4215,-75.6972,,,,Archery club in Ottawa,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Ottawa Kyudo Association,1,1,1,,Ottawa,Ontario,Canada,,,,343-999-5587,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,RA Centre Archery Club,1,1,1,2451 Riverside Drive,Ottawa,Ontario,Canada,K1H 7X7,45.39,-75.6675,(613) 733-5100,,https://www.racentre.com/archery.html,Archery range at RA Centre. Annual memberships and short-term passes available. Mandatory Internal Safety Course required. Junior (10-17) and Adult (18+) memberships. Hosts tournaments from club-level to provincial/national. Keybox access for members.,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,XQuest Archery,1,1,1,Ottawa,Ottawa,Ontario,Canada,,45.4215,-75.6972,,,https://www.xquestarchery.com/,"Ottawa's largest indoor archery range. Pro shop, Olympic recurve specialists. NCCP certified coaches including Competition Development level. Family-owned since 2008. Lessons, private coaching, club shooting. Hosts provincial tournaments.","archery, traditional archery, Ontario","Mon-Fri: 12-9pm, Sat-Sun: 9am-4pm. Range: Wed 3-9pm, Thu 3-5pm, Fri 3-8pm, Sat 3-6pm",,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Owen Sound Archery Club,1,1,1,Owen Sound,Owen Sound,Ontario,Canada,,44.5673,-80.9434,,,,Archery club in Owen Sound,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Parry Sound Archery Club,1,1,1,Parry Sound,Parry Sound,Ontario,Canada,,45.3475,-80.0353,,,,Archery club in Parry Sound,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Pembroke Archery Club,1,1,1,Pembroke,Pembroke,Ontario,Canada,,45.8267,-77.1114,,,,Archery club in Pembroke,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Huronia Family Archery,1,1,1,Penetanguishene,Penetanguishene,Ontario,Canada,,44.7682,-79.9313,,,,Family-oriented archery facility in Penetanguishene,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Penetanguishene Archery Club,1,1,1,Penetanguishene,Penetanguishene,Ontario,Canada,,44.7682,-79.9313,,,,Archery club in Penetanguishene,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Perth Archery Club,1,1,1,Perth,Perth,Ontario,Canada,,44.8981,-76.2477,,,,Archery club in Perth,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Petawawa Archery Club,1,1,1,Petawawa,Petawawa,Ontario,Canada,,45.8969,-77.2811,,,,"Archery club in Petawawa, hosts Archery Ontario tournaments","archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Kawartha Archers,1,1,1,Peterborough,Peterborough,Ontario,Canada,,44.3091,-78.3197,,,,Traditional archery club in Kawartha Lakes region,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Peterborough Archers,1,1,1,,Peterborough,Ontario,Canada,,,,705-977-1691 / 705-931-9440,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Peterborough Archery Club,1,1,1,Peterborough,Peterborough,Ontario,Canada,,44.3091,-78.3197,,,,Archery club in Peterborough,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Port Colborne District Conservation Club,1,1,1,3757 Second Concession Road,Port Colborne,Ontario,Canada,L3K 5V5,42.910276,-79.157797,905-835-1231,,http://pcdcc.com,"Conservation club established in 1954. Club objectives include encouraging conservation of natural resources. Activities include 3D archery shoots/tournaments, 3D archery league, trap/skeet ranges, airgun field target matches, walleye rearing pond/hatchery, youth camp out, wild game dinner. OFAH member club. 21-acre property with clubhouse.","archery, traditional archery, Ontario",,,,,Outdoor,,Yes,,Yes,"$125 Single, $152 Family (includes OFAH membership)",10,,Yes,,,,,Partial - Needs Additional Details,,
,Port Hope Archery Club,1,1,1,Port Hope,Port Hope,Ontario,Canada,,43.9494,-78.2948,,,,Archery club in Port Hope,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Picton Archery Club,1,1,1,Picton,Prince Edward County,Ontario,Canada,,43.9958,-77.1406,,,,Archery club in Picton,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Trenton Archery Club,1,1,1,Trenton,Quinte West,Ontario,Canada,,44.102,-77.5761,,,,Archery club in Trenton,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Red Lake Archery Club,1,1,1,Red Lake,Red Lake,Ontario,Canada,,51.0333,-93.8333,,,,Archery club in Red Lake,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Renfrew Archery Club,1,1,1,Renfrew,Renfrew,Ontario,Canada,,45.4728,-76.6822,,,,Archery club in Renfrew,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,St. Joseph Island Hunters & Anglers,1,1,1,,Richards Landing/Hilton Beach,Ontario,Canada,,,,705-246-1475,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,That Hunting & Fishing Store,1,1,1,Richmond,Richmond,Ontario,Canada,,45.1664,-75.8044,,,,Hunting and fishing store with archery equipment in Richmond,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Richmond Hill Archery,1,1,1,Richmond Hill,Richmond Hill,Ontario,Canada,,43.8828,-79.4403,,,,Archery facility in Richmond Hill,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Lakehead Archers Inc.,1,1,1,,Rosslyn,Ontario,Canada,,,,807-939-1672,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Lambton Bowhunters Assoc. Inc.,1,1,1,,Sarnia,Ontario,Canada,,,,519-542-2617,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Lambton-Kent Archers,1,1,1,Lambton County,Sarnia,Ontario,Canada,,42.9745,-82.4066,,,,Archery club serving Lambton County region,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Sarnia Archery Club,1,1,1,Sarnia,Sarnia,Ontario,Canada,,42.9745,-82.4066,,,,Archery club in Sarnia,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Algoma Rod & Gun Club,1,1,1,Sault Ste. Marie area,Sault Ste. Marie,Ontario,Canada,,46.5333,-84.3333,,,,"Rod and gun club with archery facilities, hosts Christmas shoots","archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Arrows in Motion,1,1,1,Sault Ste. Marie,Sault Ste. Marie,Ontario,Canada,,46.5333,-84.3333,,,,Professional archery facility in Sault Ste. Marie,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Sault North Archery Club,1,1,1,,Sault Ste. Marie,Ontario,Canada,,,,705-971-3127,,,,,,,,,,,,,,,,,,,,,,Missing - Needs All Details,,
,Sault Ste. Marie Archery Club,1,1,1,Sault Ste. Marie,Sault Ste. Marie,Ontario,Canada,,46.5333,-84.3333,,,,Archery club in Sault Ste. Marie,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Soo North Archery Club,1,1,1,Sault Ste. Marie,Sault Ste. Marie,Ontario,Canada,,46.5333,-84.3333,,,,Established archery club in Sault Ste. Marie,"archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
,Shooting Academy,1,1,1,40 Continental Pl,Scarborough,Ontario,Canada,M1R 2T4,43.7507,-79.2951,(416) 551-1610,,https://shootingacademycanada.com/,"Full-service archery facility offering lessons, range access, pro shop with bow presses, arrow-making equipment, string makers. Offers training from beginner to professional level. Ages 6+. Bow repair and maintenance services.","archery, traditional archery, Ontario",,,,,,,,,,,,,,,,,,Partial - Needs Additional Details,,
